ID ,name ,category ,main_category ,currency ,goal ,pledged ,state ,backers ,country ,usd_pledged 
1000002330,The Songs of Adelaide & Abullah,Poetry,Publishing,GBP,1000,0,failed,0,GB,0
1000004038,Where is Hank?,Narrative Film,Film & Video,USD,45000,220,failed,3,US,220
1000007540,ToshiCapital Rekordz Needs Help to Complete Album,Music,Music,USD,5000,1,failed,1,US,1
1000011046,Community Film Project: The Art of Neighborhood Filmmaking,Film & Video,Film & Video,USD,19500,1283,canceled,14,US,1283
1000014025,Monarch Espresso Bar,Restaurants,Food,USD,50000,52375,successful,224,US,52375
1000023410,Support Solar Roasted Coffee & Green Energy!  SolarCoffee.co,Food,Food,USD,1000,1205,successful,16,US,1205
1000030581,Chaser Strips. Our Strips make Shots their B*tch!,Drinks,Food,USD,25000,453,failed,40,US,453
1000034518,SPIN - Premium Retractable In-Ear Headphones with Mic,Product Design,Design,USD,125000,8233,canceled,58,US,8233
100004195,STUDIO IN THE SKY - A Documentary Feature Film (Canceled),Documentary,Film & Video,USD,65000,6240.57,canceled,43,US,6240.57
100004721,Of Jesus and Madmen,Nonfiction,Publishing,CAD,2500,0,failed,0,CA,0
100005484,Lisa Lim New CD!,Indie Rock,Music,USD,12500,12700,successful,100,US,12700
1000055792,The Cottage Market,Crafts,Crafts,USD,5000,0,failed,0,US,0
1000056157,G-Spot Place for Gamers to connect with eachother & go pro!,Games,Games,USD,200000,0,failed,0,US,0
1000064368,Survival Rings,Design,Design,USD,2500,664,failed,11,US,664
1000064918,The Beard,Comic Books,Comics,USD,1500,395,failed,16,US,395
1000068480,Notes From London: Above & Below,Art Books,Publishing,USD,3000,789,failed,20,US,789
1000070642,Mike Corey's Darkness & Light Album,Music,Music,USD,250,250,successful,7,US,250
1000071625,Boco Tea,Food,Food,USD,5000,1781,failed,40,US,1781
1000072011,CMUK. Shoes: Take on Life Feet First.,Fashion,Fashion,USD,20000,34268,successful,624,US,34268
1000082254,Alice in Wonderland in G Minor,Theater,Theater,USD,3500,650,failed,12,US,650
1000087442,Mountain brew: A quest for alcohol sustainability,Drinks,Food,NOK,500,48,failed,3,NO,6.18000816
1000091520,The Book Zoo - A Mini-Comic,Comics,Comics,USD,175,701.66,successful,66,US,701.66
1000102741,Matt Cavenaugh & Jenny Powers make their 1st album! ,Music,Music,USD,10000,15827,successful,147,US,15827
1000103948,Superhero Teddy Bear,DIY,Crafts,GBP,12000,0,failed,0,GB,0
1000104688,Permaculture Skills,Webseries,Film & Video,CAD,17757,48905,successful,571,CA,43203.25114
1000104953,Rebel Army Origins: The Heroic Story Of Major Gripes,Comics,Comics,GBP,100,112.38,successful,27,GB,167.7003058
1000115172,Daily Brew Coffee,Food Trucks,Food,GBP,3500,21,failed,1,GB,32.41526106
1000117861,Ledr workbook: one tough journal!,Product Design,Design,USD,1000,47266,successful,549,US,11253
1000120151,Feather Cast Furled Fly Fishing Leaders,Product Design,Design,AUD,2000,2000,successful,18,AU,1473.6189
